Query,Match,HMDB,PubChem,ChEBI,KEGG,METLIN,SMILES,Comment
10057,Xanthan,HMDB0029923,131750926,10057,C01464,NA,CC(=O)OCC1OC(OC2C(O)C(CP)OC(CO)C2OC2OC(CO)C(OP)C(O)C2O)C(OC2OC(C(OC3OC4COC(C)(OC4C(O)C3O)C(O)=O)C(O)C2O)C(O)=O)C(O)C1O,1
10093,Yohimbine,HMDB0015464,8969,10093,C09256,NA,[H][C@@]12CC[C@H](O)[C@H](C(=O)OC)[C@@]1([H])C[C@]1([H])N(CCC3=C1NC1=CC=CC=C31)C2,1
10101,Zalcitabine,HMDB0015078,24066,10101,C07207,NA,NC1=NC(=O)N(C=C1)[C@H]1CC[C@@H](CO)O1,1
8277,podocarpic acid,NA,93017,8277,C09171,NA,C1(C(=O)O)CCC2(C)c3cc(O)ccc3CC12,1
8346,NA,NA,NA,NA,NA,NA,NA,0
8356,Pramipexole,HMDB0014557,119570,8356,NA,NA,CCCN[C@H]1CCC2=C(C1)SC(N)=N2,1
8378,Prednisolone,HMDB0014998,5755,8378,C07369,NA,[H][C@@]12CC[C@](O)(C(=O)CO)[C@@]1(C)C[C@H](O)[C@@]1([H])[C@@]2([H])CCC2=CC(=O)C=C[C@]12C,1
5002,Fenoldopam,HMDB0014938,3341,5002,C07693,NA,OC1=CC=C(C=C1)C1CNCCC2=C(Cl)C(O)=C(O)C=C12,1
8614,Psilocybine,HMDB0256899,NA,8614,C07576,NA,CN(C)CCC1=CNC2=CC=CC(OP(O)(O)=O)=C12,1
8645,Purpurin,HMDB0256928,42607797,8645,C10395,NA,OC1=CC(O)=C2C(=O)C3=CC=CC=C3C(=O)C2=C1O,1
8647,Purpurogallin,HMDB0256929,5281571,8647,C09964,NA,OC1=C(O)C(O)=C2C(=C1)C=CC=C(O)C2=O,1
5296,Gemfibrozil,HMDB0015371,3463,5296,C07020,NA,CC1=CC(OCCCC(C)(C)C(O)=O)=C(C)C=C1,1
9566,Thioridazine,HMDB0014817,5452,9566,NA,NA,CSC1=CC2=C(SC3=CC=CC=C3N2CCC2CCCCN2C)C=C1,1
